共 1295 个谜题，并行 CPU核数 线程

[145/1295] PASS 0096.json            via=rust         steps=0      time=   36ms
[146/1295] PASS 0101.json            via=rust         steps=0      time=   36ms
[147/1295] PASS 0043.json            via=rust         steps=0      time=   38ms
[148/1295] PASS 0210.json            via=rust         steps=0      time=   20ms
[149/1295] PASS 1281.json            via=rust         steps=0      time=   41ms
[150/1295] PASS 1271.json            via=rust         steps=0      time=   47ms
[151/1295] PASS 1393.json            via=rust         steps=0      time=   72ms
[152/1295] PASS 0212.json            via=rust         steps=0      time=   52ms
[153/1295] PASS 1283.json            via=rust         steps=0      time=   30ms
[154/1295] PASS 0064.json            via=rust         steps=0      time=   12ms
[155/1295] PASS 0065.json            via=rust         steps=0      time=   19ms
[156/1295] PASS 0055.json            via=rust         steps=0      time=   16ms
[157/1295] PASS 0061.json            via=rust         steps=0      time=   37ms
[158/1295] PASS 0056.json            via=rust         steps=0      time=   28ms
[159/1295] PASS 0060.json            via=rust         steps=0      time=   30ms
[160/1295] PASS 0074.json            via=rust         steps=0      time=   31ms
[161/1295] PASS 0117.json            via=rust         steps=0      time=   27ms
[162/1295] PASS 0085.json            via=rust         steps=0      time=   26ms
[163/1295] PASS 0077.json            via=rust         steps=0      time=   25ms
[164/1295] PASS 0124.json            via=rust         steps=0      time=   40ms
[165/1295] PASS 0236.json            via=rust         steps=0      time=   34ms
[166/1295] PASS 1284pad.json         via=rust         steps=0      time=  117ms
[167/1295] PASS 0211.json            via=rust         steps=0      time=  141ms
[168/1295] PASS 0235.json            via=rust         steps=0      time=   50ms
[169/1295] PASS 0237.json            via=rust         steps=0      time=   46ms
[170/1295] PASS 0238.json            via=rust         steps=0      time=   45ms
[171/1295] PASS 0423.json            via=rust         steps=0      time=   15ms
[172/1295] PASS 0267.json            via=rust         steps=0      time=   45ms
[173/1295] PASS 0416.json            via=rust         steps=0      time=   30ms
[174/1295] PASS 0551.json            via=rust         steps=0      time=   26ms
[175/1295] PASS 0266.json            via=rust         steps=0      time=   64ms
[176/1295] PASS 0948.json            via=rust         steps=0      time=   76ms
[177/1295] PASS 0424.json            via=rust         steps=0      time=   68ms
[178/1295] PASS 0239.json            via=rust         steps=0      time=   70ms
[179/1295] PASS 0950.json            via=rust         steps=0      time=   78ms
[180/1295] PASS 1240.json            via=rust         steps=0      time=   73ms
[181/1295] PASS 0949.json            via=rust         steps=0      time=   78ms
[182/1295] PASS 1239.json            via=rust         steps=0      time=   81ms
[183/1295] PASS 1251.json            via=rust         steps=0      time=  103ms
[184/1295] PASS 0027.json            via=rust         steps=0      time=   44ms
[185/1295] PASS 1285.json            via=rust         steps=0      time=   40ms
[186/1295] PASS 0091.json            via=rust         steps=0      time=   52ms
[187/1295] PASS 0105nopad.json       via=rust         steps=0      time=   51ms
[188/1295] PASS 1445.json            via=rust         steps=0      time=   72ms
[189/1295] PASS 1444.json            via=rust         steps=0      time=   72ms
[190/1295] PASS 0099.json            via=rust         steps=0      time=   45ms
[191/1295] PASS 0106nopad.json       via=rust         steps=0      time=   40ms
[192/1295] PASS 0108.json            via=rust         steps=0      time=   39ms
[193/1295] PASS 0107nopad.json       via=rust         steps=0      time=   36ms
[194/1295] PASS 0097.json            via=rust         steps=0      time=   75ms
[195/1295] PASS 0530.json            via=rust         steps=0      time=   12ms
[196/1295] PASS 0126.json            via=rust         steps=0      time=   27ms
[197/1295] PASS 0531.json            via=rust         steps=0      time=   30ms
[198/1295] PASS 0528.json            via=rust         steps=0      time=   46ms
[199/1295] PASS 0533.json            via=rust         steps=0      time=   40ms
[200/1295] PASS 0672.json            via=rust         steps=0      time=   50ms
[201/1295] PASS 0109.json            via=rust         steps=0      time=   61ms
[202/1295] PASS 0529.json            via=rust         steps=0      time=   77ms
[203/1295] PASS 0692.json            via=rust         steps=0      time=   15ms
[204/1295] PASS 0224.json            via=rust         steps=0      time=  827ms
[205/1295] PASS 0536.json            via=rust         steps=0      time=   84ms
[206/1295] PASS 0694.json            via=rust         steps=0      time=   34ms
[207/1295] PASS 0946.json            via=rust         steps=0      time=   32ms
[208/1295] PASS 1024.json            via=rust         steps=0      time=   55ms
[209/1295] PASS 1162.json            via=rust         steps=0      time=   35ms
[210/1295] PASS 0673.json            via=rust         steps=0      time=   64ms
[211/1295] PASS 1160.json            via=rust         steps=0      time=   68ms
[212/1295] PASS 1161.json            via=rust         steps=0      time=   31ms
[213/1295] PASS 1025.json            via=rust         steps=0      time=   70ms
